State,Census Division,Census Region,Gender,Age Group,Gender&Age,Education,Annual Income,Checking Account,Savings Account,Overdraw,Other Investments,Other Retirement Accounts,Number of Credit Cards,Credit Card Balance Interest,Emergency Funds,Retirement Planning,Health Insurance,Financial Confidence,Financial Knowledge,Emergency Funds_score,Retirement Planning_score,Health Insurance_score,Checking Account_score,Savings Account_score,Other Investments_score,Other Retirement Accounts_score,Overdraw_score,Credit Card Balance Interest_score,Number of Credit Cards_score,Total_Score,FinLit_Level
Missouri,West North Central,Midwest,Female,25-34,Female 25-34,Associate's degree,"At least $25,000 but less than $35,000",Yes,No,No,No,Yes,4 to 8,No,No,No,Yes,Strongly agree,7,1,1,5,3,1,1,3,3,3,3,24,Average
District of Columbia,South Atlantic,South,Male,25-34,Male 25-34,Post graduate degree,"At least $200,000 but less than $300,000",No,No,,,Yes,4 to 8,No,Yes,Yes,Yes,Strongly agree,5,5,3,5,1,1,,3,,3,3,24,Average
Tennessee,East South Central,South,Female,18-24,Female 18-24,"Some college, no degree","At least $15,000 but less than $25,000",Yes,Yes,No,No,,1,Yes,Yes,No,Yes,Slightly agree,4,5,1,5,3,3,1,,3,1,2,24,Average
District of Columbia,South Atlantic,South,Female,25-34,Female 25-34,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,4 to 8,Yes,No,No,Yes,Strongly agree,7,1,1,5,3,3,1,,3,1,3,21,Average
Maine,New England,Northeast,Male,45-54,Male 45-54,Bachelor's degree,"At least $75,000 but less than $100,000",Yes,No,No,No,Yes,1,Yes,No,Yes,Yes,Neither agree nor disagree,4,1,3,5,3,1,1,3,3,1,2,23,Average
New Jersey,Middle Atlantic,Northeast,Male,25-34,Male 25-34,Bachelor's degree,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,Prefer not to say,2 to 3,No,Yes,No,Yes,Neither agree nor disagree,3,5,1,5,3,3,3,0,3,3,3,29,Moderately High
Rhode Island,New England,Northeast,Male,55-64,Male 55-64,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,No,Yes,,2 to 3,Yes,Yes,Yes,Yes,Moderately disagree,5,5,3,5,3,3,3,,3,1,3,29,Moderately High
Maine,New England,Northeast,Male,18-24,Male 18-24,"Some college, no degree","At least $15,000 but less than $25,000",Yes,Yes,Yes,No,,1,No,No,No,No,Neither agree nor disagree,4,1,1,1,3,3,1,,1,3,2,16,Moderately Low
Missouri,West North Central,Midwest,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,No,Yes,No,,1,No,Don't know,Yes,No,Strongerly disagree,1,0,3,1,3,1,1,,1,3,2,15,Moderately Low
Tennessee,East South Central,South,Female,18-24,Female 18-24,Bachelor's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,1,No,Yes,No,No,Slightly agree,5,5,1,1,3,3,1,,3,3,2,22,Average
New Jersey,Middle Atlantic,Northeast,Female,45-54,Female 45-54,Bachelor's degree,"At least $150,000 but less than $200,000",Yes,Yes,No,Yes,Yes,9 to 12,No,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,3,3,3,3,1,30,Moderately High
New Jersey,Middle Atlantic,Northeast,Female,18-24,Female 18-24,Bachelor's degree,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,Yes,2 to 3,No,No,Yes,Yes,Strongly agree,6,1,3,5,3,3,3,3,3,3,3,30,Moderately High
Maine,New England,Northeast,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Don't know,Yes,No,,No credit cards,,No,Don't know,Yes,Neither agree nor disagree,4,1,0,5,3,0,1,,1,,1,12,Low
New Jersey,Middle Atlantic,Northeast,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,,2 to 3,No,Yes,No,Yes,Strongly agree,5,5,1,5,3,3,3,,3,3,3,29,Moderately High
Maine,New England,Northeast,Male,55-64,Male 55-64,Associate's degree,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,No credit cards,,No,,Yes,Moderately agree,5,1,,5,3,3,1,,3,,1,17,Moderately Low
Missouri,West North Central,Midwest,Male,25-34,Male 25-34,Associate's degree,"At least $35,000 but less than $50,000",Yes,No,No,No,,1,Don't know,No,No,No,Slightly agree,5,1,1,1,3,1,1,,3,0,2,13,Moderately Low
Mississippi,East South Central,South,Male,35-44,Male 35-44,Bachelor's degree,"At least $100,000 but less than $150,000",Yes,Yes,Yes,Yes,Yes,2 to 3,Yes,No,Yes,Yes,Neither agree nor disagree,5,1,3,5,3,3,3,3,1,1,3,26,Average
New Jersey,Middle Atlantic,Northeast,Female,45-54,Female 45-54,Did not complete high school,"Less than $15,000",Yes,Don't know,Yes,No,,2 to 3,Yes,No,Yes,Yes,Strongly agree,7,1,3,5,3,0,1,,1,1,3,18,Moderately Low
New Jersey,Middle Atlantic,Northeast,Female,45-54,Female 45-54,"Some college, no degree","At least $150,000 but less than $200,000",Yes,Yes,No,Yes,Yes,2 to 3,Yes,Yes,No,Yes,Strongly agree,5,5,1,5,3,3,3,3,3,1,3,30,Moderately High
New Jersey,Middle Atlantic,Northeast,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,1,Yes,No,No,No,Strongerly disagree,1,1,1,1,3,3,1,,1,1,2,14,Moderately Low
Indiana,East North Central,Midwest,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,No,Yes,Don't know,,1,Don't know,No,No,No,Slightly disagree,4,1,1,1,3,1,0,,1,0,2,10,Low
New York,Middle Atlantic,Northeast,Female,18-24,Female 18-24,Associate's degree,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,1,No,No,Yes,Yes,Strongly agree,3,1,3,5,3,3,1,,1,3,2,22,Average
New Hampshire,New England,Northeast,Male,35-44,Male 35-44,"Some college, no degree","At least $50,000 but less than $75,000",Yes,No,No,Yes,Yes,2 to 3,Yes,No,Yes,No,Strongly agree,7,1,3,1,3,1,3,3,3,1,3,22,Average
Montana,Mountain,West,Male,35-44,Male 35-44,Bachelor's degree,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,,1,Yes,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,3,,3,1,2,26,Average
Montana,Mountain,West,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,No,No,No,,No credit cards,,No,No,Yes,Slightly agree,6,1,1,5,3,1,1,,3,,1,16,Moderately Low
New Hampshire,New England,Northeast,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $100,000 but less than $150,000",Yes,Yes,No,No,Yes,2 to 3,Yes,Yes,No,Yes,Slightly agree,3,5,1,5,3,3,1,3,3,1,3,28,Moderately High
New York,Middle Atlantic,Northeast,Female,18-24,Female 18-24,"Some college, no degree","Less than $15,000",Yes,Yes,No,No,,2 to 3,No,No,No,Yes,Moderately agree,3,1,1,5,3,3,1,,3,3,3,23,Average
Nevada,Mountain,West,Male,35-44,Male 35-44,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,,4 to 8,Yes,Yes,No,No,Strongly agree,7,5,1,1,3,3,3,,3,1,3,23,Average
Montana,Mountain,West,Female,18-24,Female 18-24,Bachelor's degree,"At least $35,000 but less than $50,000",Yes,Yes,No,No,No,No credit cards,,No,No,Yes,Slightly disagree,4,1,1,5,3,3,1,1,3,,1,19,Moderately Low
Alaska,Pacific,West,Male,45-54,Male 45-54,"Some college, no degree","At least $200,000 but less than $300,000",Yes,Yes,Don't know,Yes,Yes,2 to 3,No,No,No,Yes,Neither agree nor disagree,5,1,1,5,3,3,3,3,0,3,3,25,Average
New Jersey,Middle Atlantic,Northeast,Male,25-34,Male 25-34,Bachelor's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,,1,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,,3,3,2,30,Moderately High
New Jersey,Middle Atlantic,Northeast,Female,25-34,Female 25-34,Associate's degree,"At least $25,000 but less than $35,000",Yes,No,No,No,,1,Yes,No,No,Yes,Neither agree nor disagree,6,1,1,5,3,1,1,,3,1,2,18,Moderately Low
New Jersey,Middle Atlantic,Northeast,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,Yes,1,No,No,No,Yes,Strongly agree,6,1,1,5,3,3,1,3,1,3,2,23,Average
Maine,New England,Northeast,Male,35-44,Male 35-44,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,Yes,,No credit cards,,No,Yes,Yes,Strongly agree,3,1,3,5,3,3,3,,3,,1,22,Average
Kentucky,East South Central,South,Male,25-34,Male 25-34,"Some college, no degree","Less than $15,000",No,No,,,Yes,1,Yes,No,Yes,Yes,Strongly agree,6,1,3,5,1,1,,3,,1,2,17,Moderately Low
Kansas,West North Central,Midwest,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,,2 to 3,No,Yes,Don't know,Yes,Moderately agree,6,5,0,5,3,3,3,,3,3,3,28,Moderately High
Minnesota,West North Central,Midwest,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,No,Yes,No,,No credit cards,,No,No,Yes,Neither agree nor disagree,4,1,1,5,3,1,1,,1,,1,14,Moderately Low
Alaska,Pacific,West,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,Yes,Yes,Yes,1,No,Yes,Yes,Yes,Strongly agree,5,5,3,5,3,3,3,3,1,3,2,31,Moderately High
Arkansas,West South Central,South,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,No,Yes,No,,No credit cards,,No,Yes,Yes,Strongly agree,7,1,3,5,3,1,1,,1,,1,16,Moderately Low
District of Columbia,South Atlantic,South,Female,65+,Female 65+,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,,2 to 3,No,No,,Yes,Neither agree nor disagree,7,1,,5,3,3,3,,3,3,3,24,Average
District of Columbia,South Atlantic,South,Male,25-34,Male 25-34,Post graduate degree,"At least $200,000 but less than $300,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,4,5,3,5,3,3,3,3,3,3,3,34,High
New Jersey,Middle Atlantic,Northeast,Female,25-34,Female 25-34,Post graduate degree,"At least $35,000 but less than $50,000",Yes,Yes,Yes,Don't know,,13 to 20,Yes,Yes,Yes,Yes,Slightly agree,5,5,3,5,3,3,0,,1,1,0,21,Average
Alaska,Pacific,West,Female,25-34,Female 25-34,Bachelor's degree,"At least $25,000 but less than $35,000",Yes,Yes,Prefer not to say,No,,1,Yes,No,Yes,Yes,Neither agree nor disagree,5,1,3,5,3,3,1,,0,1,2,19,Moderately Low
Idaho,Mountain,West,Male,25-34,Male 25-34,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,4 to 8,Yes,No,Yes,Yes,Neither agree nor disagree,6,1,3,5,3,3,1,3,3,1,3,26,Average
Utah,Mountain,West,Male,55-64,Male 55-64,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,5,5,3,5,3,3,3,3,3,3,3,34,High
Oregon,Pacific,West,Male,25-34,Male 25-34,Associate's degree,"At least $50,000 but less than $75,000",Don't know,No,,Don't know,,No credit cards,,Yes,Yes,Yes,Strongerly disagree,7,5,3,5,0,1,0,,,,1,15,Moderately Low
Alaska,Pacific,West,Male,45-54,Male 45-54,Bachelor's degree,"At least $150,000 but less than $200,000",Yes,No,No,No,Yes,9 to 12,Yes,Yes,Yes,Yes,Slightly agree,5,5,3,5,3,1,1,3,3,1,1,26,Average
West Virginia,South Atlantic,South,Male,18-24,Male 18-24,"Some college, no degree","Less than $15,000",Yes,No,Yes,No,,No credit cards,,No,No,Yes,Neither agree nor disagree,4,1,1,5,3,1,1,,1,,1,14,Moderately Low
Nebraska,West North Central,Midwest,Male,25-34,Male 25-34,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,No,No,No credit cards,,No,Yes,No,Moderately agree,6,1,3,1,3,3,1,1,3,,1,17,Moderately Low
Missouri,West North Central,Midwest,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $75,000 but less than $100,000",Yes,No,Yes,No,,2 to 3,Yes,No,No,No,Slightly agree,6,1,1,1,3,1,1,,1,1,3,13,Moderately Low
New Jersey,Middle Atlantic,Northeast,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,1,Yes,No,No,No,Slightly disagree,5,1,1,1,3,3,1,,3,1,2,16,Moderately Low
North Dakota,West North Central,Midwest,Male,35-44,Male 35-44,Bachelor's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,No,No,4 to 8,Yes,No,Yes,Yes,Neither agree nor disagree,2,1,3,5,3,3,1,1,3,1,3,24,Average
New Jersey,Middle Atlantic,Northeast,Male,25-34,Male 25-34,Bachelor's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,4,5,3,5,3,3,3,3,3,3,3,34,High
New Mexico,Mountain,West,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,4 to 8,Prefer not to say,No,No,No,Slightly agree,4,1,1,1,3,3,1,,3,0,3,16,Moderately Low
North Dakota,West North Central,Midwest,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,No,No,No,,No credit cards,,No,No,No,Neither agree nor disagree,Don't know,1,1,1,3,1,1,,3,,1,12,Low
New Jersey,Middle Atlantic,Northeast,Female,18-24,Female 18-24,"Some college, no degree","Less than $15,000",Yes,Yes,No,Yes,,No credit cards,,Yes,No,Yes,Slightly agree,4,5,1,5,3,3,3,,3,,1,24,Average
Maine,New England,Northeast,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,Yes,No,No,No credit cards,,No,No,Yes,Slightly disagree,1,1,1,5,3,3,1,1,1,,1,17,Moderately Low
Alaska,Pacific,West,Female,18-24,Female 18-24,"Some college, no degree","Less than $15,000",Yes,Yes,Yes,No,No,1,Yes,No,Yes,Yes,Moderately disagree,1,1,3,5,3,3,1,1,1,1,2,21,Average
Missouri,West North Central,Midwest,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,No,Yes,No,,2 to 3,No,No,Yes,No,Neither agree nor disagree,5,1,3,1,3,1,1,,1,3,3,17,Moderately Low
Oregon,Pacific,West,Male,25-34,Male 25-34,Bachelor's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,,2 to 3,Yes,No,Yes,Yes,Strongly agree,5,1,3,5,3,3,3,,3,1,3,25,Average
Mississippi,East South Central,South,Male,35-44,Male 35-44,"Some college, no degree","At least $50,000 but less than $75,000",No,No,,,,2 to 3,Yes,No,No,Yes,Neither agree nor disagree,4,1,1,5,1,1,,,,1,3,13,Moderately Low
Montana,Mountain,West,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,No,No,No,Slightly disagree,5,1,1,1,3,3,1,,3,,1,14,Moderately Low
Hawaii,Pacific,West,Female,25-34,Female 25-34,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,,4 to 8,Yes,No,No,Yes,Slightly agree,4,1,1,5,3,3,1,,1,1,3,19,Moderately Low
New Jersey,Middle Atlantic,Northeast,Female,25-34,Female 25-34,Post graduate degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,,2 to 3,Yes,No,No,Yes,Slightly agree,5,1,1,5,3,3,3,,3,1,3,23,Average
Iowa,West North Central,Midwest,Male,25-34,Male 25-34,Did not complete high school,"At least $50,000 but less than $75,000",Yes,No,Yes,Yes,,No credit cards,,No,No,Yes,Moderately agree,7,1,1,5,3,1,3,,1,,1,16,Moderately Low
New Hampshire,New England,Northeast,Male,35-44,Male 35-44,Bachelor's degree,"At least $200,000 but less than $300,000",Yes,Yes,No,No,Yes,4 to 8,Yes,Don't know,No,Yes,Moderately disagree,3,0,1,5,3,3,1,3,3,1,3,23,Average
Montana,Mountain,West,Male,35-44,Male 35-44,"Some college, no degree","At least $15,000 but less than $25,000",Yes,No,No,No,,No credit cards,,No,No,No,Slightly agree,5,1,1,1,3,1,1,,3,,1,12,Low
Hawaii,Pacific,West,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,1,Yes,Don't know,No,Yes,Slightly agree,6,0,1,5,3,3,1,,3,1,2,19,Moderately Low
New Mexico,Mountain,West,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,No credit cards,,No,Don't know,Yes,Slightly agree,7,1,0,5,3,1,1,,1,,1,13,Moderately Low
New Jersey,Middle Atlantic,Northeast,Male,25-34,Male 25-34,Bachelor's degree,"At least $50,000 but less than $75,000",Yes,No,Yes,No,,1,Yes,Yes,No,No,Slightly agree,6,5,1,1,3,1,1,,1,1,2,16,Moderately Low
Nebraska,West North Central,Midwest,Male,35-44,Male 35-44,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,Don't know,No,Yes,2 to 3,Yes,No,Yes,Yes,Strongly agree,5,1,3,5,3,3,1,3,0,1,3,23,Average
New Hampshire,New England,Northeast,Male,35-44,Male 35-44,Bachelor's degree,"At least $75,000 but less than $100,000",Yes,Yes,Yes,Yes,No,2 to 3,Yes,No,Yes,Yes,Neither agree nor disagree,5,1,3,5,3,3,3,1,1,1,3,24,Average
Alaska,Pacific,West,Female,25-34,Female 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Neither agree nor disagree,3,1,1,5,3,3,1,,3,,1,18,Moderately Low
Vermont,New England,Northeast,Male,18-24,Male 18-24,Bachelor's degree,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,,2 to 3,No,Yes,No,Yes,Slightly agree,2,5,1,5,3,3,3,,3,3,3,29,Moderately High
Montana,Mountain,West,Male,25-34,Male 25-34,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,Yes,No,1,No,Yes,No,Yes,Slightly agree,4,5,1,5,3,3,3,1,3,3,2,29,Moderately High
Connecticut,New England,Northeast,Male,45-54,Male 45-54,Bachelor's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,2 to 3,Yes,No,No,Yes,Strongly agree,7,1,1,5,3,3,3,3,3,1,3,26,Average
Kansas,West North Central,Midwest,Male,45-54,Male 45-54,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,Prefer not to say,Prefer not to say,4 to 8,Yes,No,Yes,Yes,Strongly agree,6,1,3,5,3,3,0,0,3,1,3,22,Average
Wyoming,Mountain,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,No,No,,No credit cards,,No,No,No,Strongerly disagree,1,1,1,1,3,3,1,,3,,1,14,Moderately Low
Oklahoma,West South Central,South,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,No,Yes,No,Yes,No credit cards,,No,No,Yes,Neither agree nor disagree,4,1,1,5,3,1,1,3,1,,1,17,Moderately Low
Arizona,Mountain,West,Male,65+,Male 65+,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,Yes,,Yes,Strongly agree,6,5,,5,3,3,3,3,3,1,3,29,Moderately High
Arizona,Mountain,West,Male,65+,Male 65+,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,No,1,No,Yes,,Yes,Strongly agree,5,5,,5,3,3,3,1,3,3,2,28,Moderately High
Colorado,Mountain,West,Male,65+,Male 65+,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Yes,No,2 to 3,No,Yes,,Yes,Strongly agree,7,5,,5,3,3,3,1,3,3,3,29,Moderately High
Colorado,Mountain,West,Male,55-64,Male 55-64,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,,2 to 3,Yes,Yes,No,Yes,Moderately agree,5,5,1,5,3,3,3,,3,1,3,27,Moderately High
Alabama,East South Central,South,Male,65+,Male 65+,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,No,2 to 3,No,No,,Yes,Neither agree nor disagree,4,1,,5,3,3,1,1,1,3,3,21,Average
Colorado,Mountain,West,Male,35-44,Male 35-44,Bachelor's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,No,Yes,Slightly agree,5,5,1,5,3,3,3,3,3,3,3,32,Moderately High
Georgia,South Atlantic,South,Male,65+,Male 65+,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,Yes,No,,No credit cards,,No,,Yes,Slightly disagree,5,1,,5,3,3,1,,1,,1,15,Moderately Low
Georgia,South Atlantic,South,Male,25-34,Male 25-34,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,No,2 to 3,Yes,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,1,3,1,3,30,Moderately High
Georgia,South Atlantic,South,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,No,Yes,Strongly agree,7,5,1,5,3,3,3,3,3,3,3,32,Moderately High
Delaware,South Atlantic,South,Female,35-44,Female 35-44,Bachelor's degree,"$300,000 or more",Yes,Yes,No,Yes,Yes,4 to 8,No,Yes,Yes,Yes,Moderately agree,5,5,3,5,3,3,3,3,3,3,3,34,High
Hawaii,Pacific,West,Male,65+,Male 65+,"Some college, no degree","Less than $15,000",Yes,Yes,No,Yes,No,2 to 3,No,Yes,No,Yes,Strongly agree,5,5,1,5,3,3,3,1,3,3,3,30,Moderately High
Hawaii,Pacific,West,Male,65+,Male 65+,Bachelor's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,4 to 8,No,Yes,,Yes,Strongly agree,6,5,,5,3,3,3,3,3,3,3,31,Moderately High
Connecticut,New England,Northeast,Male,45-54,Male 45-54,"Some college, no degree","At least $15,000 but less than $25,000",Yes,No,Yes,No,,1,Yes,No,No,Yes,Slightly agree,5,1,1,5,3,1,1,,1,1,2,16,Moderately Low
Georgia,South Atlantic,South,Male,55-64,Male 55-64,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,No,,2 to 3,Yes,Yes,,Yes,Moderately agree,4,5,,5,3,3,1,,3,1,3,24,Average
Colorado,Mountain,West,Male,25-34,Male 25-34,Associate's degree,"At least $50,000 but less than $75,000",Yes,No,No,Yes,,2 to 3,Yes,No,No,Yes,Slightly disagree,7,1,1,5,3,1,3,,3,1,3,21,Average
Colorado,Mountain,West,Male,55-64,Male 55-64,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,No credit cards,,No,No,Yes,Neither agree nor disagree,4,1,1,5,3,3,1,,1,,1,16,Moderately Low
Connecticut,New England,Northeast,Female,25-34,Female 25-34,Associate's degree,"At least $75,000 but less than $100,000",Yes,No,No,No,,9 to 12,Yes,No,No,Yes,Strongly agree,4,1,1,5,3,1,1,,3,1,1,17,Moderately Low
Georgia,South Atlantic,South,Male,35-44,Male 35-44,"Some college, no degree","At least $15,000 but less than $25,000",Yes,Yes,No,Yes,,2 to 3,Yes,No,No,Yes,Neither agree nor disagree,5,1,1,5,3,3,3,,3,1,3,23,Average
Delaware,South Atlantic,South,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,No,No,Yes,Yes,4 to 8,No,Yes,No,Yes,Strongly agree,4,5,1,5,3,1,3,3,3,3,3,30,Moderately High
Indiana,East North Central,Midwest,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,No,Yes,No,,1,Yes,No,Yes,Yes,Moderately agree,5,1,3,5,3,1,1,,1,1,2,18,Moderately Low
Georgia,South Atlantic,South,Male,55-64,Male 55-64,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,No,Yes,No,,No credit cards,,No,No,Yes,Strongerly disagree,4,1,1,5,3,1,1,,1,,1,14,Moderately Low
Indiana,East North Central,Midwest,Male,55-64,Male 55-64,Bachelor's degree,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,No,2 to 3,No,Yes,,Yes,Strongly agree,5,5,,5,3,3,1,1,1,3,3,25,Average
Arkansas,West South Central,South,Male,45-54,Male 45-54,Bachelor's degree,"Less than $15,000",Yes,Yes,No,No,No,1,No,No,No,Yes,Slightly agree,2,1,1,5,3,3,1,1,3,3,2,23,Average
Georgia,South Atlantic,South,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,2 to 3,Yes,No,No,Yes,Neither agree nor disagree,4,1,1,5,3,3,1,,1,1,3,19,Moderately Low
Kansas,West North Central,Midwest,Male,55-64,Male 55-64,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,No credit cards,,No,No,Yes,Moderately disagree,4,1,1,5,3,1,1,,1,,1,14,Moderately Low
Vermont,New England,Northeast,Male,55-64,Male 55-64,Bachelor's degree,"At least $25,000 but less than $35,000",Yes,Yes,No,Yes,No,4 to 8,Yes,Yes,,Yes,Strongerly disagree,5,5,,5,3,3,3,1,3,1,3,27,Moderately High
Maryland,South Atlantic,South,Male,55-64,Male 55-64,Associate's degree,"At least $25,000 but less than $35,000",Yes,Yes,No,No,No,1,Yes,No,No,Yes,Moderately agree,4,1,1,5,3,3,1,1,3,1,2,21,Average
District of Columbia,South Atlantic,South,Male,45-54,Male 45-54,Post graduate degree,"At least $100,000 but less than $150,000",Yes,Yes,Yes,Yes,Yes,1,No,No,Yes,Yes,Strongly agree,7,1,3,5,3,3,3,3,1,3,2,27,Moderately High
Alabama,East South Central,South,Male,65+,Male 65+,"Some college, no degree","Less than $15,000",Yes,Yes,No,Prefer not to say,,9 to 12,Prefer not to say,Don't know,,No,Strongly agree,7,0,,1,3,3,0,,3,0,1,11,Low
Maine,New England,Northeast,Female,55-64,Female 55-64,Post graduate degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,,2 to 3,Yes,Yes,Yes,Yes,Moderately agree,4,5,3,5,3,3,3,,3,1,3,29,Moderately High
Colorado,Mountain,West,Male,65+,Male 65+,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,Yes,,2 to 3,Yes,Prefer not to say,Yes,Yes,Strongly agree,7,0,3,5,3,3,3,,3,1,3,24,Average
Massachusetts,New England,Northeast,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,No,No,No,,2 to 3,Yes,No,No,Yes,Neither agree nor disagree,7,1,1,5,3,1,1,,3,1,3,19,Moderately Low
Georgia,South Atlantic,South,Male,55-64,Male 55-64,Bachelor's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,No,,2 to 3,Yes,Yes,,Yes,Slightly agree,5,5,,5,3,3,1,,3,1,3,24,Average
Alabama,East South Central,South,Male,65+,Male 65+,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,Yes,No,,2 to 3,No,No,No,Yes,Moderately agree,5,1,1,5,3,3,1,,1,3,3,21,Average
