State,Census Division,Census Region,Gender,Age Group,Gender&Age,Education,Annual Income,Checking Account,Savings Account,Overdraw,Other Investments,Other Retirement Accounts,Number of Credit Cards,Credit Card Balance Interest,Emergency Funds,Retirement Planning,Health Insurance,Financial Confidence,Financial Knowledge,Emergency Funds_score,Retirement Planning_score,Health Insurance_score,Checking Account_score,Savings Account_score,Other Investments_score,Other Retirement Accounts_score,Overdraw_score,Credit Card Balance Interest_score,Number of Credit Cards_score,Total_Score,FinLit_Level
California,Pacific,West,Male,65+,Male 65+,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,Yes,Yes,,4 to 8,No,No,,Yes,Slightly agree,6,1,,5,3,3,3,,1,3,3,22,Average
Iowa,West North Central,Midwest,Female,25-34,Female 25-34,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,1,No,Yes,No,Yes,Moderately agree,4,5,1,5,3,3,1,,3,3,2,26,Average
Illinois,East North Central,Midwest,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"Less than $15,000",Yes,No,No,No,,No credit cards,,No,No,Don't know,Slightly agree,3,1,1,0,3,1,1,,3,,1,11,Low
Minnesota,West North Central,Midwest,Female,45-54,Female 45-54,Associate's degree,"At least $15,000 but less than $25,000",Yes,No,Yes,Yes,No,2 to 3,Yes,No,No,No,Neither agree nor disagree,5,1,1,1,3,1,3,1,1,1,3,16,Moderately Low
California,Pacific,West,Female,65+,Female 65+,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,,2 to 3,No,Yes,,Yes,Strongly agree,5,5,,5,3,3,3,,3,3,3,28,Moderately High
Texas,West South Central,South,Male,35-44,Male 35-44,"Some college, no degree","At least $75,000 but less than $100,000",Yes,No,Yes,No,,4 to 8,Yes,No,No,Yes,Neither agree nor disagree,5,1,1,5,3,1,1,,1,1,3,17,Moderately Low
Florida,South Atlantic,South,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,Yes,Yes,No,2 to 3,Yes,No,No,No,Strongly agree,4,1,1,1,3,3,3,1,1,1,3,18,Moderately Low
New Mexico,Mountain,West,Male,65+,Male 65+,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,No,,13 to 20,Yes,No,,Yes,Strongly agree,5,1,,5,3,3,1,,3,1,0,17,Moderately Low
Indiana,East North Central,Midwest,Female,35-44,Female 35-44,Did not complete high school,"Less than $15,000",Yes,No,Yes,No,,No credit cards,,No,Yes,Yes,Strongly agree,5,1,3,5,3,1,1,,1,,1,16,Moderately Low
Arizona,Mountain,West,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,3,3,3,34,High
South Carolina,South Atlantic,South,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,No,No,,1,No,No,Yes,Yes,Strongly agree,7,1,3,5,3,3,1,,3,3,2,24,Average
Texas,West South Central,South,Female,55-64,Female 55-64,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,No,No,,1,No,No,,Yes,Strongly agree,6,1,,5,3,3,1,,3,3,2,21,Average
California,Pacific,West,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,No,No,No,,1,Yes,No,,Yes,Strongly agree,3,1,,5,3,1,1,,3,1,2,17,Moderately Low
California,Pacific,West,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,No,No,No,,No credit cards,,No,No,Yes,Neither agree nor disagree,4,1,1,5,3,1,1,,3,,1,16,Moderately Low
Texas,West South Central,South,Female,45-54,Female 45-54,High school graduate - regular high school diploma,"At least $75,000 but less than $100,000",No,No,,,,No credit cards,,No,No,No,Slightly agree,3,1,1,1,1,1,,,,,1,6,Low
California,Pacific,West,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,Yes,Yes,,2 to 3,No,Yes,No,Yes,Slightly agree,5,5,1,5,3,3,3,,1,3,3,27,Moderately High
Illinois,East North Central,Midwest,Male,65+,Male 65+,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,Yes,,4 to 8,No,Yes,,Yes,Strongly agree,6,5,,5,3,3,3,,3,3,3,28,Moderately High
Arizona,Mountain,West,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,1,Yes,No,No,Yes,Strongly agree,5,1,1,5,3,3,1,,3,1,2,20,Average
